iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,reporting-org-type-code,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org-type-code (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org-type-code (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org-type-code (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),participating-org-type-code (Implementing),recipient-country-code,recipient-country,recipient-country-percentage,recipient-region-code,recipient-region,recipient-region-percentage,sector-code,sector,sector-percentage,sector-vocabulary,sector-vocabulary-code,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code,default-currency,currency,total-Commitment,total-Disbursement,total-Expenditure,total-Incoming Funds,total-Interest Repayment,total-Loan Repayment,total-Reimbursement
XM-DAC-21-1-2015B1TANOB3LHSTANOB3ACCT,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Improving Local Health Services promoting greater accountability ,,2,,2015-12-31,2015-05-31,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,TZA,,,,,,12110,Health policy and administrative management,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1UGAOB2SSDUGAOB2HAS,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Objectiive 2; Social Service Delivery humanitarian assistance,,2,,2015-12-31,2015-03-05,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,UGA,,,,,,13040,STD control including HIV/AIDS,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1TANOB2FSNTANOB2ISCD,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Improving Food Security and Nutrition,,2,,2015-12-31,2015-05-31,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,TZA,,,,,,12240,Basic nutrition,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1MALOB2SHRMALOB2CCDRR,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Strengthen Household Resilience reduced vulnerability of the poorest hh in disastre prone areas,,2,,2015-12-31,2015-04-24,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,MWI,,,,,,16010,Social Protection,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1ETHOB1SSPETHOB1PSNP,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Social Protection PSNP,,2,,2015-12-31,2015-02-09,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ETH,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1ETHOB2RLCETHOB2SMLIV,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Rural Livelihoods & Climate Improve Smallholder Livelihoods,,2,,2015-12-31,2015-02-09,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ETH,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1MALPSDMALOB4ME,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Programme Support And Development,,2,,2015-12-31,2015-04-24,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,MWI,,,,,,91010,Administrative costs (non-sector allocable),,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1UGAOB3ECOUGAOB3ILRI,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Objective 3: Greater Economic Opportunities In Uganda ILRI,,2,,2015-12-31,2015-03-05,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,UGA,,,,,,25010,Business Policy and Administration,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1UGAOB2SSDUGAOB2GBV,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Objectiive 2; Social Service Delivery GBV programme ,,2,,2015-12-31,2015-03-05,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,UGA,,,,,,52010,Food assistance,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
XM-DAC-21-1-2015B1ETHOB3CPAETHOB3CSOSP,1,2016-01-12 00:00:00,en,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,Civil Society & Accountability Support to Civil Society,,2,,2015-12-31,2015-02-09,,,,,,DFAT  / Irish Aid,XM-DAC-21-1,Government,10,DFAT / Irish Aid,XM-DAC-21-1,Government,10,,,,,ETH,,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,DAC,1,110,10,,5,EUR,,0,0,0,0,0,0,0
